PATTERN,COLOUR,FIT,MATERIAL,SLEEVE,TEXTURE,COLLAR,ELASTICITY,ELASTICITY_TYPE,CURRENT_PRICE,CURRENT_QTY,XGB_BASE_DEMAND,CURRENT_REVENUE,CURRENT_PROFIT,OPTIMAL_PRICE,PREDICTED_QTY_HYBRID,OPTIMAL_REVENUE,PROFIT_AT_OPTIMAL,PRICE_CHANGE_%,REVENUE_IMPROVEMENT_$,REVENUE_IMPROVEMENT_%,PROFIT_IMPROVEMENT_$,PROFIT_IMPROVEMENT_%,OPTIMIZATION_STATUS,COST_PRICE,PRICE_CHANGE,RECOMMENDATION
15117,ASSORTED,REGULAR FIT,COTTON,LONG SLEEVE,PLAIN,BUTTONDOWN COLLAR,-1.359,UNKNOWN,1795.0,1.0,1.91,1795.0,647.0,1795,1.909999966621399,3428.76,1235.88,0.0,1633.76,91.02,588.88,91.02,NO_CHANGE,1148.0,NO CHANGE,MAINTAIN PRICE
15127,ASSORTED,REGULAR FIT,COTTON,LONG SLEEVE,PLAIN,BUTTONDOWN COLLAR,-1.359,UNKNOWN,1795.0,1.0,2.22,1795.0,647.0,1795,2.2200000286102295,3982.31,1435.41,0.0,2187.31,121.86,788.41,121.86,NO_CHANGE,1148.0,NO CHANGE,MAINTAIN PRICE
15136,ASSORTED,SLIM FIT,COTTON,LONG SLEEVE,CHECK,BUTTONDOWN COLLAR,-1.359,UNKNOWN,1795.0,2.33,2.35,4188.33,1509.67,1795,2.3499999046325684,4210.57,1517.68,0.0,22.23,0.53,8.01,0.53,NO_CHANGE,1148.0,NO CHANGE,MAINTAIN PRICE
15139,ASSORTED,REGULAR FIT,COTTON,LONG SLEEVE,CHECK,BUTTONDOWN COLLAR,-1.359,UNKNOWN,1795.0,1.0,1.63,1795.0,647.0,1795,1.6299999952316284,2921.55,1053.06,0.0,1126.55,62.76,406.06,62.76,NO_CHANGE,1148.0,NO CHANGE,MAINTAIN PRICE
15147,ASSORTED,REGULAR FIT,COTTON,SHORT SLEEVE,PLAIN,BUTTONDOWN COLLAR,-1.359,UNKNOWN,1795.0,3.0,3.2,5385.0,1941.0,1795,3.200000047683716,5743.9,2070.36,0.0,358.9,6.66,129.36,6.66,NO_CHANGE,1148.0,NO CHANGE,MAINTAIN PRICE
15148,ASSORTED,SLIM FIT,COTTON,LONG SLEEVE,PLAIN,BUTTONDOWN COLLAR,-1.359,UNKNOWN,1795.0,1.67,1.64,2991.67,1078.33,1795,1.6399999856948853,2948.36,1062.72,0.0,-43.3,-1.45,-15.61,-1.45,NO_CHANGE,1148.0,NO CHANGE,MAINTAIN PRICE
15153,ASSORTED,SLIM FIT,COTTON,LONG SLEEVE,PRINTED,BUTTONDOWN COLLAR,-1.359,UNKNOWN,1795.0,1.0,1.91,1795.0,647.0,1795,1.909999966621399,3428.76,1235.88,0.0,1633.76,91.02,588.88,91.02,NO_CHANGE,1148.0,NO CHANGE,MAINTAIN PRICE
15165,ASSORTED,SLIM FIT,COTTON,LONG SLEEVE,CHECK,BUTTONDOWN COLLAR,-1.359,UNKNOWN,1795.0,1.5,1.41,2692.5,970.5,1795,1.409999966621399,2523.31,909.52,0.0,-169.19,-6.28,-60.98,-6.28,NO_CHANGE,1148.0,NO CHANGE,MAINTAIN PRICE
15176,ASSORTED,SLIM FIT,COTTON,LONG SLEEVE,PLAIN,BUTTONDOWN COLLAR,-1.359,UNKNOWN,1795.0,1.0,2.27,1795.0,647.0,1795,2.2699999809265137,4074.11,1468.49,0.0,2279.11,126.97,821.49,126.97,NO_CHANGE,1148.0,NO CHANGE,MAINTAIN PRICE
15178,ASSORTED,REGULAR FIT,COTTON,SHORT SLEEVE,PLAIN,BUTTONDOWN COLLAR,-1.359,UNKNOWN,1695.0,2.33,2.26,3955.0,1425.67,1695,2.259999990463257,3822.92,1378.05,0.0,-132.08,-3.34,-47.61,-3.34,NO_CHANGE,1084.0,NO CHANGE,MAINTAIN PRICE
15179,ASSORTED,SLIM FIT,COTTON,LONG SLEEVE,PLAIN,BUTTONDOWN COLLAR,-1.359,UNKNOWN,1795.0,2.0,2.58,3590.0,1294.0,1795,2.5799999237060547,4627.22,1667.86,0.0,1037.22,28.89,373.86,28.89,NO_CHANGE,1148.0,NO CHANGE,MAINTAIN PRICE
15180,OFF WHITE,SLIM FIT,COTTON,LONG SLEEVE,PLAIN,BUTTONDOWN COLLAR,-1.359,UNKNOWN,1795.0,1.0,1.25,1795.0,647.0,1795,1.25,2248.08,810.31,0.0,453.08,25.24,163.31,25.24,NO_CHANGE,1148.0,NO CHANGE,MAINTAIN PRICE
15195,ASSORTED,REGULAR FIT,COTTON,SHORT SLEEVE,PLAIN,BUTTONDOWN COLLAR,-1.359,UNKNOWN,1795.0,1.67,2.44,2991.67,1078.33,1795,2.440000057220459,4384.05,1580.21,0.0,1392.39,46.54,501.88,46.54,NO_CHANGE,1148.0,NO CHANGE,MAINTAIN PRICE
15197,ASSORTED,SLIM FIT,COTTON,LONG SLEEVE,PLAIN,CUTAWAY COLLAR,-1.359,UNKNOWN,1995.0,2.0,2.23,3990.0,294.0,1995,2.2300000190734863,4440.0,327.16,0.0,450.0,11.28,33.16,11.28,NO_CHANGE,1848.0,NO CHANGE,MAINTAIN PRICE
15200,ASSORTED,SLIM FIT,COTTON,SHORT SLEEVE,PLAIN,BUTTONDOWN COLLAR,-1.359,UNKNOWN,1695.0,1.0,2.22,1695.0,611.0,1695,2.2200000286102295,3760.45,1355.54,0.0,2065.45,121.86,744.54,121.86,NO_CHANGE,1084.0,NO CHANGE,MAINTAIN PRICE
15201,ASSORTED,SLIM FIT,COTTON,LONG SLEEVE,PLAIN,BUTTONDOWN COLLAR,-1.359,UNKNOWN,1795.0,2.0,1.65,3590.0,1294.0,1795,1.649999976158142,2960.21,1066.99,0.0,-629.79,-17.54,-227.01,-17.54,NO_CHANGE,1148.0,NO CHANGE,MAINTAIN PRICE
15226,ASSORTED,SLIM FIT,COTTON,SHORT SLEEVE,PRINTED,CUTAWAY COLLAR,-1.359,UNKNOWN,1695.0,1.5,2.03,2542.5,916.5,1695,2.0299999713897705,3442.14,1240.8,0.0,899.64,35.38,324.3,35.38,NO_CHANGE,1084.0,NO CHANGE,MAINTAIN PRICE
15228,ASSORTED,REGULAR FIT,COTTON,LONG SLEEVE,PRINTED,CUTAWAY COLLAR,-1.359,UNKNOWN,1795.0,1.0,2.22,1795.0,647.0,1795,2.2200000286102295,3982.31,1435.41,0.0,2187.31,121.86,788.41,121.86,NO_CHANGE,1148.0,NO CHANGE,MAINTAIN PRICE
15229,ASSORTED,REGULAR FIT,COTTON,SHORT SLEEVE,PRINTED,BUTTONDOWN COLLAR,-1.359,UNKNOWN,1695.0,1.0,1.74,1695.0,611.0,1695,1.7400000095367432,2948.37,1062.81,0.0,1253.37,73.95,451.81,73.95,NO_CHANGE,1084.0,NO CHANGE,MAINTAIN PRICE
15231,ASSORTED,SLIM FIT,COTTON,LONG SLEEVE,CHECK,CLASSIC,-1.359,UNKNOWN,1795.0,1.0,1.67,1795.0,647.0,1795,1.6699999570846558,2994.85,1079.48,0.0,1199.85,66.84,432.48,66.84,NO_CHANGE,1148.0,NO CHANGE,MAINTAIN PRICE
15234,ASSORTED,REGULAR FIT,COTTON,LONG SLEEVE,CHECK,BUTTONDOWN COLLAR,-1.359,UNKNOWN,1795.0,1.67,2.44,2991.67,1078.33,1795,2.440000057220459,4384.05,1580.21,0.0,1392.39,46.54,501.88,46.54,NO_CHANGE,1148.0,NO CHANGE,MAINTAIN PRICE
15235,ASSORTED,SLIM FIT,COTTON,SHORT SLEEVE,PLAIN,BUTTONDOWN COLLAR,-1.359,UNKNOWN,1695.0,1.0,2.27,1695.0,611.0,1695,2.2699999809265137,3847.14,1386.79,0.0,2152.14,126.97,775.79,126.97,NO_CHANGE,1084.0,NO CHANGE,MAINTAIN PRICE
15241,ASSORTED,REGULAR FIT,COTTON,SHORT SLEEVE,CHECK,BUTTONDOWN COLLAR,-1.359,UNKNOWN,1995.0,2.0,2.5,3990.0,1438.0,1995,2.5,4996.44,1800.72,0.0,1006.44,25.22,362.72,25.22,NO_CHANGE,1276.0,NO CHANGE,MAINTAIN PRICE
15243,ASSORTED,REGULAR FIT,COTTON,LONG SLEEVE,STRIPE,CUTAWAY COLLAR,-1.359,UNKNOWN,2495.0,2.0,2.73,4990.0,1798.0,2495,2.7300000190734863,6823.37,2458.6,0.0,1833.37,36.74,660.6,36.74,NO_CHANGE,1596.0,NO CHANGE,MAINTAIN PRICE
15244,ASSORTED,REGULAR FIT,COTTON,SHORT SLEEVE,STRIPE,CUTAWAY COLLAR,-1.359,UNKNOWN,1995.0,1.33,1.86,2660.0,958.67,1995,1.8600000143051147,3711.13,1337.49,0.0,1051.13,39.52,378.83,39.52,NO_CHANGE,1276.0,NO CHANGE,MAINTAIN PRICE
15247,ASSORTED,SLIM FIT,COTTON,LONG SLEEVE,STRIPE,CUTAWAY COLLAR,-1.359,UNKNOWN,1995.0,4.0,1.78,7980.0,588.0,1995,1.7799999713897705,3555.09,261.95,0.0,-4424.91,-55.45,-326.05,-55.45,NO_CHANGE,1848.0,NO CHANGE,MAINTAIN PRICE
15251,ASSORTED,SLIM FIT,COTTON,LONG SLEEVE,STRIPE,CUTAWAY COLLAR,-2.329,UNKNOWN,2495.0,1.67,1.6,4158.33,658.33,2495,1.600000023841858,3987.01,631.21,0.0,-171.33,-4.12,-27.12,-4.12,NO_CHANGE,2100.0,NO CHANGE,MAINTAIN PRICE
